Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 2 [43520/50000 (87%)], Loss: 2.258577, Top1:38.962, Top5:68.429
Train Epoch: 2 [44160/50000 (88%)], Loss: 2.135584, Top1:39.040, Top5:68.467
Train Epoch: 2 [44800/50000 (90%)], Loss: 2.163177, Top1:39.071, Top5:68.512
Train Epoch: 2 [45440/50000 (91%)], Loss: 2.078803, Top1:39.095, Top5:68.535
Train Epoch: 2 [46080/50000 (92%)], Loss: 2.415270, Top1:39.147, Top5:68.583
Train Epoch: 2 [46720/50000 (93%)], Loss: 2.638897, Top1:39.150, Top5:68.570
Train Epoch: 2 [47360/50000 (95%)], Loss: 2.329625, Top1:39.210, Top5:68.588
Train Epoch: 2 [48000/50000 (96%)], Loss: 2.117099, Top1:39.241, Top5:68.609
Train Epoch: 2 [48640/50000 (97%)], Loss: 2.379537, Top1:39.305, Top5:68.645
Train Epoch: 2 [49280/50000 (98%)], Loss: 2.116521, Top1:39.320, Top5:68.661
Train Epoch: 2 [49920/50000 (100%)], Loss: 2.062434, Top1:39.289, Top5:68.636
('Training Time:', 167.2512068748474)

Test set: Average loss: 0.0003, Top1:37.870, Top5:68.060

('Testing Time:', 4.919193983078003)
Train Epoch: 3 [0/50000 (0%)], Loss: 2.012106, Top1:48.438, Top5:75.000
Train Epoch: 3 [640/50000 (1%)], Loss: 1.992322, Top1:42.045, Top5:73.580
Train Epoch: 3 [1280/50000 (3%)], Loss: 1.907141, Top1:43.750, Top5:74.182
Train Epoch: 3 [1920/50000 (4%)], Loss: 2.057515, Top1:44.153, Top5:73.740
Train Epoch: 3 [2560/50000 (5%)], Loss: 2.313595, Top1:44.550, Top5:73.628
Train Epoch: 3 [3200/50000 (6%)], Loss: 2.026230, Top1:44.455, Top5:74.142
Train Epoch: 3 [3840/50000 (8%)], Loss: 2.061865, Top1:44.877, Top5:74.308
Train Epoch: 3 [4480/50000 (9%)], Loss: 1.857310, Top1:45.643, Top5:74.384
Train Epoch: 3 [5120/50000 (10%)], Loss: 2.153915, Top1:45.409, Top5:74.421
Train Epoch: 3 [5760/50000 (12%)], Loss: 2.121032, Top1:45.124, Top5:74.330
Train Epoch: 3 [6400/50000 (13%)], Loss: 2.281916, Top1:45.111, Top5:74.196
Train Epoch: 3 [7040/50000 (14%)], Loss: 2.282500, Top1:45.073, Top5:74.169
Train Epoch: 3 [7680/50000 (15%)], Loss: 1.819124, Top1:44.861, Top5:74.367
Train Epoch: 3 [8320/50000 (17%)], Loss: 1.932065, Top1:45.026, Top5:74.260
Train Epoch: 3 [8960/50000 (18%)], Loss: 2.321728, Top1:45.135, Top5:74.357
Train Epoch: 3 [9600/50000 (19%)], Loss: 1.952798, Top1:45.312, Top5:74.483
Train Epoch: 3 [10240/50000 (20%)], Loss: 2.044425, Top1:45.196, Top5:74.515
Train Epoch: 3 [10880/50000 (22%)], Loss: 1.986326, Top1:45.422, Top5:74.662
Train Epoch: 3 [11520/50000 (23%)], Loss: 1.999417, Top1:45.528, Top5:74.888
Train Epoch: 3 [12160/50000 (24%)], Loss: 1.738175, Top1:45.509, Top5:74.845
Train Epoch: 3 [12800/50000 (26%)], Loss: 2.425360, Top1:45.608, Top5:74.751
Train Epoch: 3 [13440/50000 (27%)], Loss: 2.062896, Top1:45.594, Top5:74.704
Train Epoch: 3 [14080/50000 (28%)], Loss: 2.171082, Top1:45.581, Top5:74.710
Train Epoch: 3 [14720/50000 (29%)], Loss: 2.195791, Top1:45.488, Top5:74.567
Train Epoch: 3 [15360/50000 (31%)], Loss: 2.193125, Top1:45.513, Top5:74.630
